OverallQual,GrLivArea,TotalBsmtSF,YearBuilt,Location,SalePrice
7,2167,0,2017,Gurgaon,315187
4,932,257,2013,Kolkata,61357
7,1891,0,2011,Gurgaon,252028
8,1700,459,1983,Gurgaon,228461
6,2142,424,2006,Gurgaon,237419
8,2101,0,2021,Gurgaon,382469
5,1293,0,1975,Bangalore,52741
4,1016,0,2008,Bangalore,57267
6,1989,0,2023,Gurgaon,238345
3,1219,0,1982,Gurgaon,44837
6,2072,0,2018,Gurgaon,260331
8,3395,0,2002,Gurgaon,435198
3,2552,0,2021,Gurgaon,173025
4,1830,0,2018,Bangalore,109539
5,1805,0,2022,Gurgaon,192549
6,841,0,2001,Gurgaon,98009
6,1162,0,2012,Gurgaon,155729
8,2270,0,2019,Bangalore,244063
8,1619,0,2002,Gurgaon,212359
7,1486,0,2001,Gurgaon,158224
6,1135,543,1973,Kolkata,57771
7,1297,0,2023,Gurgaon,191867
5,935,0,2017,Bangalore,70144
7,1476,0,2015,Bangalore,156258
5,1386,0,2018,Gurgaon,129612
7,1159,0,2012,Bangalore,138804
8,1320,0,2010,Bangalore,169339
6,1403,0,2010,Kolkata,104864
6,1729,0,2015,Gurgaon,160704
7,1757,0,2000,Gurgaon,202136
2,2160,0,2022,Gurgaon,138345
7,1434,408,2020,Bangalore,213951
6,1372,0,2006,Bangalore,97320
6,2094,0,2013,Gurgaon,231476
7,2197,0,1995,Gurgaon,203123
6,1142,0,2024,Kolkata,103539
5,1891,0,2022,Gurgaon,209094
6,1140,0,2022,Bangalore,110195
6,1104,0,2005,Bangalore,91029
6,2249,0,1998,Gurgaon,164243
6,2081,0,2000,Gurgaon,193098
8,2266,0,1989,Gurgaon,229999
4,1309,0,1992,Kolkata,55687
6,1874,0,1986,Gurgaon,121782
8,2392,474,2024,Gurgaon,430128
3,2336,0,1986,Gurgaon,109844
6,2323,0,1994,Gurgaon,184206
5,1453,0,2020,Bangalore,130381
6,2571,0,2013,Gurgaon,292963
5,1605,0,2019,Bangalore,145323
6,1790,0,2015,Bangalore,161845
9,1670,0,2021,Kolkata,204663
4,1978,0,2015,Gurgaon,171483
4,913,0,2012,Kolkata,41548
4,1822,0,2017,Bangalore,117757
9,3689,0,2009,Gurgaon,565680
5,1327,0,2006,Bangalore,92495
6,1227,0,2010,Kolkata,93029
5,1617,0,1998,Gurgaon,129032
5,1009,0,2019,Kolkata,57707
6,2210,0,2002,Bangalore,183724
10,1730,0,1996,Bangalore,268644
8,1195,0,2002,Kolkata,94298
5,1024,0,2020,Gurgaon,112333
7,904,0,2005,Kolkata,64347
5,961,477,2016,Gurgaon,115953
4,1790,150,2021,Bangalore,120179
8,2967,0,1987,Bangalore,273122
8,1839,0,2018,Gurgaon,261237
8,913,0,2004,Bangalore,108663
5,2317,0,2001,Gurgaon,191245
6,1471,0,2016,Gurgaon,158598
7,2525,0,2022,Gurgaon,402265
7,1703,0,2004,Gurgaon,213274
6,1521,0,2013,Gurgaon,175306
4,1757,0,2003,Gurgaon,134986
6,1848,0,2012,Bangalore,166310
8,1575,0,2014,Bangalore,193272
4,1271,0,2014,Bangalore,79299
7,1746,0,2014,Gurgaon,243145
7,703,0,1994,Kolkata,42307
7,1682,0,2016,Bangalore,199370
8,1100,0,2016,Gurgaon,162097
5,1619,0,2016,Gurgaon,157554
4,1849,0,1986,Bangalore,86547
5,2007,0,2009,Gurgaon,174433
7,1771,0,2008,Bangalore,162511
5,1174,219,1989,Kolkata,52065
5,2458,0,2001,Gurgaon,229029
3,2330,0,2009,Gurgaon,127787
9,1733,0,2018,Kolkata,190988
7,1926,0,2001,Bangalore,181146
7,2240,0,2020,Gurgaon,347048
8,1208,0,2012,Kolkata,113197
7,675,0,2018,Kolkata,63157
6,1693,0,2010,Bangalore,153978
6,1751,0,2011,Bangalore,158223
6,2417,0,2014,Gurgaon,270242
10,1903,0,2023,Gurgaon,412710
7,1083,0,2011,Bangalore,104916
5,2089,0,2012,Gurgaon,194524
7,1467,0,2014,Bangalore,169093
5,600,0,2018,Kolkata,36337
8,2225,0,1986,Gurgaon,216617
5,647,0,2011,Bangalore,56339
7,1358,0,2010,Gurgaon,199161
8,1907,0,2022,Kolkata,222278
7,2798,0,2011,Gurgaon,338547
6,940,0,2010,Bangalore,83207
6,1348,0,2024,Bangalore,160191
6,1872,0,2010,Gurgaon,216323
5,2319,0,1999,Bangalore,140787
5,1273,0,2001,Bangalore,95030
8,1460,0,1990,Bangalore,152684
6,2212,0,1960,Bangalore,104257
5,1053,0,2009,Kolkata,58101
5,1832,0,2018,Bangalore,155744
8,1000,0,2017,Bangalore,111909
7,1760,0,1976,Gurgaon,122260
7,736,0,2013,Bangalore,70858
6,1014,0,1996,Bangalore,67822
7,1886,0,2023,Bangalore,211789
5,1824,0,1997,Gurgaon,144656
6,1075,0,2015,Kolkata,74219
8,1640,0,2005,Gurgaon,210114
8,1578,0,2015,Bangalore,194571
5,2006,0,2008,Gurgaon,158758
5,1583,0,2018,Kolkata,99479
6,600,0,2001,Gurgaon,66475
9,1777,0,2022,Gurgaon,351027
3,1262,0,2011,Kolkata,50266
7,1161,0,2018,Kolkata,96849
4,2059,0,2021,Gurgaon,158184
5,1623,0,2024,Bangalore,149264
6,1359,0,2001,Bangalore,139686
5,994,0,2003,Kolkata,53365
5,1722,0,2002,Gurgaon,147961
6,2028,0,2002,Bangalore,176981
5,1163,0,2013,Bangalore,104722
4,1471,0,2024,Bangalore,116759
7,1584,0,2024,Bangalore,156598
7,2217,0,2012,Bangalore,244103
7,1693,0,2015,Gurgaon,269417
4,1573,0,2021,Kolkata,93372
7,1680,0,2023,Kolkata,138413
7,1470,0,2000,Bangalore,141294
5,1740,0,2012,Gurgaon,152589
6,1678,0,2020,Gurgaon,234279
6,1382,0,2004,Bangalore,105274
9,2654,0,2009,Gurgaon,424596
9,1650,0,2024,Kolkata,191411
4,1972,0,2024,Gurgaon,170570
10,1522,0,2022,Bangalore,335601
5,822,0,2019,Kolkata,50329
8,3144,0,2003,Gurgaon,405689
8,1937,0,2005,Gurgaon,238495
5,1143,0,2012,Bangalore,77680
7,2158,0,2013,Bangalore,205500
6,1629,0,2011,Bangalore,151374
7,1765,0,2015,Bangalore,200925
6,1146,0,2008,Kolkata,69310
8,1533,0,2018,Bangalore,213446
6,1761,0,2005,Gurgaon,168279
6,1130,0,2005,Gurgaon,112204
8,1984,0,1993,Gurgaon,216100
7,2003,0,2000,Gurgaon,250782
7,2812,0,2021,Gurgaon,480832
5,1539,0,2009,Bangalore,94211
5,636,0,2001,Gurgaon,53664
5,1163,0,2018,Kolkata,78140
5,3274,291,2012,Gurgaon,295912
7,2300,0,1970,Gurgaon,167017
8,1306,0,2004,Bangalore,157886
6,1430,0,1998,Kolkata,80097
8,1644,0,2015,Gurgaon,259643
8,1326,0,2003,Gurgaon,205998
6,1668,0,1985,Gurgaon,147963
5,1542,0,1983,Bangalore,81109
9,998,0,2013,Bangalore,138411
6,1252,0,1971,Gurgaon,70630
6,1855,0,2021,Gurgaon,253745
6,1312,0,1996,Bangalore,85070
5,1353,0,2014,Kolkata,80514
4,941,0,2009,Bangalore,55725
7,1828,0,2009,Bangalore,165012
5,1234,0,1986,Gurgaon,82101
10,3244,0,2019,Gurgaon,859886
5,957,0,2022,Gurgaon,102766
4,997,0,1965,Bangalore,33932
7,1362,0,1999,Kolkata,93974
9,2209,0,2022,Kolkata,279772
6,1322,0,2012,Kolkata,105084
7,1419,0,1996,Kolkata,91466
3,1206,0,2000,Kolkata,42732
5,1316,340,2015,Gurgaon,125175
5,1595,0,2017,Gurgaon,136131
3,1219,0,2014,Gurgaon,68172
6,911,464,2023,Bangalore,121104
3,2058,0,2011,Gurgaon,119535
4,761,0,2004,Kolkata,38015
5,1646,331,2010,Bangalore,143345
5,901,0,2006,Bangalore,62275
7,2004,0,2001,Gurgaon,216656
6,1595,0,1981,Gurgaon,127245
7,2581,0,2006,Gurgaon,279917
7,1326,0,2017,Kolkata,99219
8,2248,0,1969,Bangalore,162629
6,1152,0,2009,Bangalore,97453
7,1879,0,2015,Gurgaon,238877
7,1339,0,2014,Gurgaon,182590
6,1309,0,2019,Bangalore,120640
6,1379,0,2020,Bangalore,146152
6,1166,0,2017,Bangalore,100591
5,1217,0,1991,Gurgaon,109637
7,648,0,2010,Kolkata,50087
6,633,0,2014,Gurgaon,81261
5,788,0,2002,Kolkata,42082
5,2176,0,1980,Gurgaon,151013
4,1018,0,2001,Gurgaon,78042
8,846,378,2010,Kolkata,107157
6,2781,0,2008,Gurgaon,263145
5,1207,0,1998,Bangalore,81590
7,1647,0,2020,Bangalore,224270
5,2184,0,2023,Gurgaon,231968
4,1804,0,2000,Bangalore,106252
8,786,0,2023,Kolkata,79463
5,1109,0,1969,Kolkata,35089
6,1008,0,2023,Gurgaon,146228
6,2625,0,2023,Bangalore,248985
8,1200,0,1966,Gurgaon,90103
6,1305,0,2018,Gurgaon,168266
4,1308,0,2024,Gurgaon,124248
7,616,0,2022,Kolkata,65952
6,1727,272,2024,Kolkata,142086
9,2974,0,2012,Bangalore,434776
6,1281,0,1987,Bangalore,74934
3,892,0,2021,Bangalore,52995
7,600,0,2014,Bangalore,54795
9,1747,0,2014,Bangalore,267071
9,1714,0,2008,Bangalore,227283
9,1871,0,2013,Gurgaon,331732
5,1965,0,1996,Gurgaon,145390
8,1534,0,2018,Kolkata,134888
5,1648,0,1986,Bangalore,92337
7,1076,0,2017,Kolkata,79326
4,1277,0,2021,Gurgaon,120215
5,1806,0,2010,Bangalore,168301
5,1856,0,2011,Gurgaon,203077
7,2311,0,2004,Gurgaon,236973
7,2260,0,2024,Gurgaon,313013
7,1110,0,2017,Gurgaon,148722
4,640,0,2006,Kolkata,28753
6,1457,0,1998,Gurgaon,116017
5,1014,0,2001,Bangalore,73706
7,1847,0,2010,Bangalore,194246
8,1841,0,2023,Bangalore,294061
8,2185,0,2018,Bangalore,262926
5,2056,0,2001,Gurgaon,195820
2,1281,447,2021,Kolkata,46066
3,1667,150,2007,Kolkata,57992
8,1896,0,2021,Bangalore,275286
5,1531,534,2002,Bangalore,138203
5,2619,0,2014,Gurgaon,235691
9,1604,0,2023,Kolkata,199676
8,1871,0,2002,Gurgaon,226054
6,1414,0,2016,Gurgaon,157969
6,2215,0,2024,Gurgaon,299614
6,2069,0,1996,Bangalore,144595
6,1476,0,1989,Bangalore,89231
9,2461,0,2016,Bangalore,325383
7,600,0,2005,Bangalore,53535
7,1821,0,1986,Gurgaon,181822
8,1364,0,2010,Kolkata,129594
4,1165,0,2018,Bangalore,70732
7,2596,0,2003,Bangalore,237894
6,1815,0,2005,Gurgaon,161650
2,1040,0,2021,Kolkata,32494
3,1863,0,2012,Gurgaon,134541
